INFO: Analyzed 247 targets (12 packages loaded, 1842 targets configured).
INFO: Found 247 targets...
INFO: From Compiling //common/utils:lib:
INFO: From Linking //common/utils:lib:
INFO: From Compiling //common/utils:lib_test:
INFO: From Linking //common/utils:lib_test:
INFO: From Compiling //common/utils:main:
INFO: From Linking //common/utils:main:
INFO: From Compiling //common/proto:lib:
INFO: From Linking //common/proto:lib:
INFO: From Compiling //common/proto:lib_test:
INFO: From Linking //common/proto:lib_test:
INFO: From Compiling //common/proto:main:
INFO: From Linking //common/proto:main:
INFO: From Compiling //common/auth:lib:
INFO: From Linking //common/auth:lib:
INFO: From Compiling //common/auth:lib_test:
INFO: From Linking //common/auth:lib_test:
INFO: From Compiling //common/auth:main:
INFO: From Linking //common/auth:main:
INFO: From Compiling //services/api/handlers:lib:
INFO: From Linking //services/api/handlers:lib:
INFO: From Compiling //services/api/handlers:lib_test:
INFO: From Linking //services/api/handlers:lib_test:
INFO: From Compiling //services/api/handlers:main:
INFO: From Linking //services/api/handlers:main:
INFO: From Compiling //services/api/middleware:lib:
INFO: From Linking //services/api/middleware:lib:
INFO: From Compiling //services/api/middleware:lib_test:
INFO: From Linking //services/api/middleware:lib_test:
INFO: From Compiling //services/api/middleware:main:
INFO: From Linking //services/api/middleware:main:
INFO: From Compiling //services/api/server:lib:
INFO: From Linking //services/api/server:lib:
INFO: From Compiling //services/api/server:lib_test:
INFO: From Linking //services/api/server:lib_test:
INFO: From Compiling //services/api/server:main:
INFO: From Linking //services/api/server:main:
INFO: From Compiling //services/worker/jobs:lib:
INFO: From Linking //services/worker/jobs:lib:
INFO: From Compiling //services/worker/jobs:lib_test:
INFO: From Linking //services/worker/jobs:lib_test:
INFO: From Compiling //services/worker/jobs:main:
INFO: From Linking //services/worker/jobs:main:
INFO: From Compiling //services/worker/queue:lib:
INFO: From Linking //services/worker/queue:lib:
INFO: From Compiling //services/worker/queue:lib_test:
INFO: From Linking //services/worker/queue:lib_test:
INFO: From Compiling //services/worker/queue:main:
INFO: From Linking //services/worker/queue:main:
INFO: From Compiling //services/scheduler/cron:lib:
INFO: From Linking //services/scheduler/cron:lib:
INFO: From Compiling //services/scheduler/cron:lib_test:
INFO: From Linking //services/scheduler/cron:lib_test:
INFO: From Compiling //services/scheduler/cron:main:
INFO: From Linking //services/scheduler/cron:main:
INFO: From Compiling //services/notifier/email:lib:
INFO: From Linking //services/notifier/email:lib:
INFO: From Compiling //services/notifier/email:lib_test:
INFO: From Linking //services/notifier/email:lib_test:
INFO: From Compiling //services/notifier/email:main:
INFO: From Linking //services/notifier/email:main:
INFO: From Compiling //services/notifier/sms:lib:
INFO: From Linking //services/notifier/sms:lib:
INFO: From Compiling //services/notifier/sms:lib_test:
INFO: From Linking //services/notifier/sms:lib_test:
INFO: From Compiling //services/notifier/sms:main:
INFO: From Linking //services/notifier/sms:main:
INFO: Elapsed time: 32.124s, Critical Path: 12.42s
INFO: 66 processes: 12 internal, 54 linux-sandbox.
INFO: Build completed successfully, 66 total actions
